longitude,latitude,track_location,height
141.880026233,37.3313912488,75.7516829062,-550.478596242
141.882641626,37.3314271659,75.9833393083,-553.605297977
141.885257021,37.3314630254,76.2149957098,-556.735496548
141.887872419,37.3314988273,76.4466521107,-559.858577828
141.890487819,37.3315345717,76.678308511,-562.969567743
141.893103222,37.3315702586,76.9099649106,-566.068101855
141.895718627,37.3316058878,77.1416213096,-569.156326947
141.898334034,37.3316414595,77.373277708,-572.430685948
141.900949444,37.3316769736,77.6049341058,-576.151826716
141.903564857,37.3317124302,77.836590503,-579.907609729
141.906180272,37.3317478291,78.0682468995,-583.666801247
141.908795689,37.3317831706,78.2999032955,-587.418875822
141.911411109,37.3318184544,78.5315596908,-591.204714267
141.914026531,37.3318536807,78.7632160855,-595.014189128
141.916641956,37.3318888494,78.9948724796,-598.321586067
141.919257383,37.3319239605,79.2265288731,-601.408337126
141.921872812,37.3319590141,79.4581852659,-604.47294595
141.924488244,37.3319940101,79.6898416582,-607.92329524
141.927103678,37.3320289485,79.9214980498,-611.654730534
141.929719115,37.3320638294,80.1531544409,-615.368109198
141.932334554,37.3320986527,80.3848108313,-618.696728427
141.934949996,37.3321334184,80.6164672211,-621.734031532
141.93756544,37.3321681266,80.8481236104,-627.455813466
141.940180886,37.3322027771,81.079779999,-633.458883762
141.942796335,37.3322373701,81.311436387,-637.824000248
141.945411786,37.3322719056,81.5430927744,-641.593481159
141.948027239,37.3323063835,81.7747491612,-645.15155219
141.950642695,37.3323408038,82.0064055474,-648.664163889
141.953258154,37.3323751665,82.238061933,-656.140691881
141.955873614,37.3324094717,82.4697183181,-667.912189391
141.958489077,37.3324437193,82.7013747025,-678.448498158
141.961104542,37.3324779093,82.9330310863,-685.563020155
141.96372001,37.3325120417,83.1646874695,-686.679953427
141.96633548,37.3325461166,83.3963438522,-690.231787943
141.968950953,37.3325801339,83.6280002342,-694.778688966
141.971566427,37.3326140936,83.8596566156,-697.146329025
141.974181904,37.3326479958,84.0913129965,-700.139952193
141.976797384,37.3326818404,84.3229693768,-704.004691888
141.979412866,37.3327156274,84.5546257565,-707.203834876
141.98202835,37.3327493569,84.7862821355,-710.297180727
141.984643836,37.3327830288,85.0179385141,-713.564061335
141.987259325,37.3328166431,85.249594892,-714.832760585
141.989874816,37.3328501998,85.4812512693,-714.171604577
141.992490309,37.332883699,85.7129076461,-710.969800833
141.995105805,37.3329171405,85.9445640222,-710.057454224
141.997721303,37.3329505246,86.1762203978,-712.019708044
142.000336803,37.332983851,86.4078767728,-716.091121613
142.002952306,37.3330171199,86.6395331472,-720.741361658
142.005567811,37.3330503312,86.8711895211,-725.106197534
142.008183318,37.3330834849,87.1028458944,-729.189554333
142.010798827,37.3331165811,87.334502267,-733.041117922
142.013414339,37.3331496196,87.5661586392,-736.715410161
142.016029853,37.3331826006,87.7978150107,-740.299910791
142.01864537,37.3332155241,88.0294713817,-743.89950873
142.021260888,37.3332483899,88.2611277521,-747.916131777
142.023876409,37.3332811982,88.4927841219,-751.946020416
142.026491932,37.3333139489,88.7244404911,-755.845763005
142.029107457,37.3333466421,88.9560968598,-760.665518767
142.031722985,37.3333792776,89.1877532279,-765.712690074
142.034338515,37.3334118556,89.4194095955,-769.933532853
142.036954047,37.333444376,89.6510659625,-777.064556241
142.039569581,37.3334768389,89.8827223289,-785.93153812
142.042185118,37.3335092442,90.1143786947,-791.945975879
142.044800657,37.3335415918,90.34603506,-796.831327409
142.047416198,37.333573882,90.5776914247,-800.967327405
142.050031741,37.3336061145,90.8093477889,-804.703641061
142.052647287,37.3336382895,91.0410041525,-808.548157543
142.055262834,37.3336704069,91.2726605155,-813.086405862
142.057878384,37.3337024667,91.504316878,-817.626615668
142.060493937,37.3337344689,91.7359732399,-822.119404643
142.063109491,37.3337664136,91.9676296013,-826.484057966
142.065725048,37.3337983007,92.1992859621,-830.887668474
142.068340606,37.3338301302,92.4309423224,-835.349106207
142.070956167,37.3338619021,92.6625986821,-839.607522519
142.07357173,37.3338936165,92.8942550412,-844.090058102
142.076187296,37.3339252733,93.1259113998,-849.147243034
142.078802863,37.3339568725,93.3575677578,-854.147531207
142.081418433,37.3339884141,93.5892241153,-859.05373584
142.084034005,37.3340198982,93.8208804723,-863.82241454
142.086649579,37.3340513247,94.0525368287,-868.422529259
142.089265155,37.3340826936,94.2841931845,-872.837808965
142.091880734,37.3341140049,94.5158495398,-877.138600898
142.094496314,37.3341452587,94.7475058946,-881.612359021
142.097111897,37.3341764549,94.9791622488,-886.487686603
142.099727482,37.3342075935,95.2108186025,-890.960330303
142.102343069,37.3342386745,95.4424749556,-895.308340512
142.104958658,37.3342696979,95.6741313082,-900.100395076
142.107574249,37.3343006638,95.9057876603,-904.708970949
142.110189843,37.3343315721,96.1374440118,-908.975786704
142.112805438,37.3343624228,96.3691003628,-912.615393164
142.115421036,37.3343932159,96.6007567132,-916.168592239
142.118036636,37.3344239515,96.8324130631,-919.903878281
142.120652238,37.3344546295,97.0640694125,-923.771815734
142.123267842,37.3344852499,97.2957257613,-927.37210417
142.125883448,37.3345158127,97.5273821096,-929.922817805
142.128499056,37.3345463179,97.7590384574,-933.135110832
142.131114667,37.3345767656,97.9906948046,-937.028395875
142.133730279,37.3346071557,98.2223511513,-940.503250181
142.136345894,37.3346374882,98.4540074975,-945.081012348
142.13896151,37.3346677631,98.6856638432,-951.281615735
142.141577129,37.3346979805,98.9173201883,-955.193624621
142.14419275,37.3347281403,99.1489765329,-957.617137495
142.146808373,37.3347582425,99.380632877,-959.073388428
142.149423998,37.3347882871,99.6122892205,-960.675208941
142.152039625,37.3348182741,99.8439455636,-962.370921558
142.154655254,37.3348482036,100.075601906,-963.443691954
142.157270885,37.3348780755,100.307258248,-965.115068061
142.159886519,37.3349078898,100.53891459,-967.741814295
142.162502154,37.3349376465,100.77057093,-969.740795919
142.165117791,37.3349673456,101.002227271,-971.751342452
142.167733431,37.3349969872,101.233883611,-974.426948421
142.170349072,37.3350265712,101.46553995,-976.142506824
142.172964716,37.3350560976,101.697196289,-977.278238605
142.175580361,37.3350855664,101.928852627,-979.045629198
142.178196009,37.3351149776,102.160508965,-981.170720896
142.180811658,37.3351443313,102.392165303,-983.624146828
142.18342731,37.3351736274,102.62382164,-986.150979297
142.186042964,37.3352028659,102.855477976,-988.486888141
142.188658619,37.3352320468,103.087134312,-990.350544019
142.191274277,37.3352611701,103.318790647,-992.22614094
142.193889937,37.3352902359,103.550446982,-994.119187159
142.196505598,37.3353192441,103.782103316,-995.947335502
142.199121262,37.3353481947,104.01375965,-998.147762664
142.201736928,37.3353770877,104.245415983,-1000.71823031
142.204352596,37.3354059231,104.477072316,-1002.76276437
142.206968265,37.335434701,104.708728648,-1004.39457181
142.209583937,37.3354634212,104.94038498,-1005.5817111
142.212199611,37.3354920839,105.172041311,-1006.78184102
142.214815286,37.335520689,105.403697642,-1007.98477735
142.217430964,37.3355492365,105.635353972,-1008.98679526
142.220046643,37.3355777265,105.867010302,-1011.26573127
142.222662325,37.3356061589,106.098666631,-1014.61827273
142.225278008,37.3356345336,106.33032296,-1016.18465672
142.227893694,37.3356628508,106.561979289,-1017.02847907
142.230509381,37.3356911104,106.793635616,-1017.53781573
142.233125071,37.3357193125,107.025291944,-1018.27571567
142.235740762,37.3357474569,107.256948271,-1018.37362598
142.238356455,37.3357755438,107.488604597,-1016.21215238
142.24097215,37.3358035731,107.720260923,-1014.75661346
142.243587847,37.3358315448,107.951917248,-1014.26999641
142.246203546,37.3358594589,108.183573573,-1014.15575505
142.248819247,37.3358873154,108.415229897,-1014.14040065
142.25143495,37.3359151144,108.646886221,-1014.05021464
142.254050655,37.3359428558,108.878542545,-1014.24476667
142.256666362,37.3359705395,109.110198868,-1013.9377245
142.259282071,37.3359981658,109.34185519,-1011.9563369
142.261897781,37.3360257344,109.573511512,-1009.99211366
142.264513493,37.3360532454,109.805167834,-1008.26822343
142.267129208,37.3360806989,110.036824155,-1006.92189175
142.269744924,37.3361080947,110.268480475,-1006.02104547
142.272360642,37.336135433,110.500136795,-1005.5678268
142.274976362,37.3361627137,110.731793115,-1004.47972337
142.277592084,37.3361899368,110.963449434,-1003.13656102
142.280207808,37.3362171024,111.195105753,-1001.83813778
142.282823533,37.3362442103,111.426762071,-1000.60569845
142.285439261,37.3362712607,111.658418389,-999.545331009
142.28805499,37.3362982535,111.890074706,-999.039926164
142.290670722,37.3363251887,112.121731023,-998.245548593
142.293286455,37.3363520663,112.353387339,-996.911522088
142.29590219,37.3363788863,112.585043655,-994.983908484
142.298517926,37.3364056487,112.81669997,-993.555612966
142.301133665,37.3364323536,113.048356285,-993.701051651
142.303749406,37.3364590009,113.280012599,-993.605988567
142.306365148,37.3364855906,113.511668913,-993.389488179
142.308980892,37.3365121227,113.743325227,-993.219950392
142.311596638,37.3365385972,113.97498154,-994.667320891
142.314212386,37.3365650141,114.206637852,-997.867852353
142.316828136,37.3365913734,114.438294165,-1000.47206474
142.319443887,37.3366176752,114.669950476,-1002.20739568
142.32205964,37.3366439194,114.901606787,-1002.68005606
142.324675395,37.336670106,115.133263098,-1002.89636416
142.327291152,37.336696235,115.364919408,-999.684466998
142.329906911,37.3367223064,115.596575718,-984.027603788
142.332522671,37.3367483202,115.828232028,-978.273546662
142.335138434,37.3367742765,116.059888337,-983.632746055
142.337754198,37.3368001751,116.291544645,-981.909738209
142.340369964,37.3368260162,116.523200953,-979.746629999
142.342985731,37.3368517997,116.754857261,-980.138494206
142.345601501,37.3368775256,116.986513568,-978.610421399
142.348217272,37.3369031939,117.218169874,-975.622526176
142.350833045,37.3369288046,117.449826181,-971.595931463
142.35344882,37.3369543578,117.681482487,-966.485893005
142.356064596,37.3369798533,117.913138792,-960.455498978
142.358680374,37.3370052913,118.144795097,-955.077063455
142.361296154,37.3370306716,118.376451401,-946.996178036
142.363911936,37.3370559944,118.608107705,-934.608382869
142.36652772,37.3370812596,118.839764009,-915.929992785
142.369143505,37.3371064673,119.071420312,-900.57107916
142.371759292,37.3371316173,119.303076615,-902.180259454
142.374375081,37.3371567097,119.534732917,-908.573764866
142.376990871,37.3371817446,119.766389219,-917.546832874
142.379606663,37.3372067219,119.99804552,-922.771785907
